Update needed in DBASE,"Type of Update (Birth, Death, Weaning, Sex)",MaternalHaplotypes,MaternalForagingType,Primary Location,MomName,MomID,CalfName,CalfID,SurviveTo3,WeaningAgeKnown,IBI,WeanToSurvivingcalfInterval,WeantoSurvivingCalfCensored,"First,Early,InBetween,Last,Unknown (FENLU)",LastSurvivingCalf,GrandmaKnown,LastSightingCalf,LastSightingMother,Obs1Calf,Obs1Mom,AssignedBDay,45104,BDayAccuracy,PrimaryBdayEstimateReason,SecondaryBdayEstimateReason,WhoAssignedBDay,MotherLastSeenBeforeCalfBirth,Interval between mothers last sighting,Calf's age at first sight,Obs2,FirstCalfSight,NotesCalfSizeBehavior,Obs3,CalfLastBP,Obs4,MumLastWLiveCalf,Obs5,MumWOCalf,Obs6,DeathDate,DeathAgeYrs,GapSightings,GapSightingsDivide2,DeathDateAccuracy,DeathDateReason1,DeathDateReason2,DeathNotes,WhoDetermineDeathDate,WeaningDateAccuracy,WeanDateReason1,WeaningDateReason2,WhoDetermineWeanDate,LastWMum80%Surveys,NotBPorWOMum50%Surveys,,WeaningDate,WeaningAgeDays,WeaningAgeMonths,WeaningAgeYears,WeanNotes,DoWStatus,Shae/EKWeaningDateNotes2010,ShaeMatrilinesNotesAug2012,CBKMatrilinesNotes2013
N,,,,PERON,MALEFICENT,MFC,MERRYWEATHER,MRW,y,,,,,,,,,,,,01/11/2011,12,YearEstimate,Gap,,EK,19-Jul-06,8.83,3.54,RCC,18-May-15,~3.5 yrs,EK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,  ,N,GUICH FLATS,MAGGIE,MGG,THATCHER,THA,y,n,6.005479452,1.089041096,,n,y,,19-Sep-04,,MK,,01/11/1999,24,YearEstimate,MotherFirstSightWithCalf,,JM,,,1.86,,9-Sep-01,check photos; JM aged at 1.5 y; assumed if yoy would have been mentioned? Also Mgg herded in 2002?,RCC,19-Sep-04,MK,19-Sep-04,MK,10-Oct-04,MK,,,21,11,Unknown,NotSightedPostWeaning,,,EK,YearEstimate,BirthdateUncertain,Midpoint,JM,19-Sep-04,10-Oct-04,21,29-Sep-04,1794.5,58.83606557,4.903005464,RCC has photos: 09-Sep-01 RCS4: 45-48 - look at these for a better age estimate,,,,
N,,  ,N,GUICH FLATS,MAGGIE,MGG,RANDYROD,ROD,u,n,,,,l,,,15-May-06,15-May-06,JM,JM,01/11/2005,18,MonthEstimate,SpringSummerYoy,,JM,10-Oct-04,1.59,0.53,MK,15-May-06,Yoy,JM,15-May-06,JM,15-May-06,JM,,,01/05/2007,,,,YearEstimate,DefaultDate,MotherCalfNotSightedSince,,,,,,,,,,,,,,,,,,
N,,  ,N,WHALE BIGHT,MIJANE,MIJ,HERJOHN,HER,u,n,,,,e,,,3-Aug-94,3-Aug-94,RCC,RCC,01/11/1992,31,MonthEstimate,InfantFirstSight,,JM,4-Nov-91,1.24,0.24,JM,29-Jan-93,AFR describes as new baby,AFR,3-Aug-94,RCC,3-Aug-94,RCC,,,01/05/1995,2.5,,,Unknown,DefaultDate,MotherCalfNotSightedSince,Mother could have been renamed,JM,,,,,,,,,,,,,,"HER last bp 3-Aug-94, may have been sighted 25-Apr-97 (/HER/) without MIJ; MIJ hasn't been seen since 3-aug-94",,
N,,A,N,RED CLIFF BAY,MINI,MIN,RASTUS,RAS,y,n,,,,e,,,,,,,01/11/1978,,YearEstimate,SSSS,,EK JM,,,-78.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,A,N,RED CLIFF BAY,MINI,MIN,SKINI,SKI,y,n,6.005479452,2.734246575,n,n,,,,,,,01/11/1983,40,YearEstimate,MotherFirstSightWithCalf,,RAS,,,0.93,,6-Oct-84,fairly big at first sight,RAS,21-Jul-88,AFRBBS,10-Aug-88,JM,31-May-89,JM,,,294,147,,,,,,YearEstimate,BirthdateUncertain,Midpoint,JM,10-Aug-88,31-May-89,294,4-Jan-89,1891,62,5.166666667,"unsure birth year, estimate from 83",,,,
N,,A,N,RED CLIFF BAY,MINI,MIN,WINNIE,WIN,n,d,1.909589041,,,n,,,7-Jun-90,,JM,,01/11/1989,34,MonthEstimate,SpringSummerYoy,,JM,11-Aug-89,0.62,0.39,JM,24-Mar-90,"check RAS video, at least a few mos old",JM,,,7-Jun-90,JM,30-Jul-90,KAW,03/07/1990,0.67,53,27,WeekEstimate,DeadPreWeaning,,,JM,,,,,,,,,,,,,,,,
N,,A,N,RED CLIFF BAY,MINI,MIN,MOUSE,MOU,y,y,12.26575342,18,y,n,y,,,,,,29/09/1991,32,DayEstimate,InfantFirstSight,,AFR,28-Sep-91,0.01,0,AFR,30-Sep-91,"small, lumpy, fetal folds, fin mostly straight but leans a little right, pronounced wave at bottom trailing edge",AFR,26-Jan-98,CF,26-Jan-98,CF,26-Jun-98,MRH,,,151,76,,,,,,MonthEstimate,Midpoint,,JM,26-Jan-98,30-May-98,124,29-Mar-98,2373,77.80327869,6.483606557,last BP jan 98(survey) then MOU alone may 98(survey) alone off and on after that,,,,
N,,A,N,RED CLIFF BAY,MINI,MIN,MICKEY,MIC,n,d,,,,l,,,6-Apr-04,,QAG,,01/01/2004,19,MonthEstimate,InfantFirstSight,,QAG,10-Nov-03,0.34,0.2,JJW,14-Mar-04,"df erect, very wavy trailing edge, no fetal stripes, normal weight, v. slight chin-slap surfacings (see 1st sight sheet)",QAG,,,6-Apr-04,qag,30-Apr-04,QAG,18/04/2004,0.296,24,12,WeekEstimate,DeadPreWeaning,,,JM,,,,,,,,,,,,,,,,
N,,E ,N,NORTH OF WHALE BIGHT,MISS PIGGY,MIS,BACON,BAC,y,n,,,,u,,,19-Apr-97,,JM,,01/11/1993,30,YearEstimate,Gap,,JM,1-May-88,7.39,1.89,DDD,22-Sep-95,older calf in 95-about 2yrs based on photos (JM),MRH,19-Apr-97,JM,19-Apr-97,JM,3-Oct-02,FB,,,1993,997,Unknown,StoppedSightingPostWeaning,,JM EK checked again cannot add more info for death or weaning date,JM EK,YearEstimate,DefaultDate,Gap,JM,19-Apr-97,,,1-May-98,1642,53.83606557,4.486338798,"at least 3, not seen since",,,,
N,,E ,N,NORTH OF WHALE BIGHT,MISS PIGGY,MIS,PORKPIE,PKP,u,n,,,,n,,,,,,,01/11/2005,18,MonthEstimate,SpringSummerYoy,,EK,13-Aug-05,1.01,0.79,MK,18-Aug-06,no mention of size but as MIS seen in 2005 has to be a yoy,MK,,,18-Aug-06,mk,2-Aug-09,EK,09/02/2008,2.274,1080,540,YearEstimate,UncertainSurvivalStatusPreWeaning,Gap,,JM,,,,,,,,,,,,WEANED OR DEAD,,,,
Y,D/W,E ,N,NORTH OF WHALE BIGHT,MISS PIGGY,MIS,GONZO,GNZ,y,,,,,,,,,,,,01/11/2013,9.7,MonthEstimate,SpringSummerYoy,,EK,11-Sep-12,3.01,1.88,EK,17-Sep-15,2 yrs old. EK spoke to Theresa who saw GNZ in 2014 who also thought older than NNA and was a yoy,EK,23-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,E ,N,NORTH OF WHALE BIGHT,MISS PIGGY,MIS,FOZZIE BEAR,FZB,still alive,,,,,,,,,,,,01/11/2020,,YearEstimate,Gap,,JM VF,23-May-16,,1.63,VF,21-Jun-22,"First seen 21-Jun-22, estimated to be 1.5 years old. MIS last seen in 2016.  Looks like a 1-Nov-2020 default date. Calf could be a little older but not younger.",VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,PERON,MOJAVE,MJV,GOBI,GBI,y,y,,,,,,,,,,,01/11/2007,16,YearEstimate,MotherFirstSightWithCalf,,EK,,,2.03,,11-Nov-09,looks about 2-3 years old,EK,23-Jun-11,EK,,,20-Jul-11,JM,,,40744,20372,,,,,,WeekEstimate,Reduced MC Association,,,23-Jun-11,20-Jul-11,27,6-Jul-11,1343.5,44.04918033,3.670765027,,,,,
N,,A ,N,HERALD BIGHT,MANGANESE,MNG,ZIRCONIUM,ZRC,y,n,,,,e,,,24-Jun-08,,JM,,01/03/2008,15,WeekEstimate,InfantFirstSight,,VF,2-Aug-06,1.89,0.31,RCC,24-Jun-08,"calf is young, 3-4 months, v, small v. clean",JM,26-Dec-10,CCC,26-Dec-10,CCC,,,,,,,,,,,,,,,,26-Dec-10,3-Jun-13,890,1-May-11,1156,37.90163934,3.158469945,,DEAD OR WEANED,,,
Y,D,A ,N,HERALD BIGHT,MANGANESE,MNG,PLUTONIUM,PTN,still alive,,,,,,,,,,,,01/11/2020,,YearEstimate,Gap,,JM,18-Jul-19,2.77,1.48,VF,24-Apr-22,"Manganese last seen 18-Jul-19 (without males). Seen with new calf on 24-Apr-22, estimated “2020 birth”",JM MHM,,,24-Apr-22,JM MHM,22-Jun-22,VF,,,,,,,,,,,,,,,,,,,,,,,,,
N,,,N,HERALD BIGHT,MARILYN MONROE,MNM,DIMAGGIO,DIM,y,n,,,,u,y,,,,,,01/11/1999,24,YearEstimate,MotherFirstSightWithCalf,,JM,,,1.75,,3-Aug-01,at least a year,JM,4-Oct-02,DFB,4-Oct-02,DFB,16-Aug-03,RCC,,,,,Unknown,NotSightedPostWeaning,,,JM EK,YearEstimate,Midpoint,BirthdateUncertain,JM,4-Oct-02,16-Aug-03,316,11-Mar-03,1226,40.19672131,3.349726776,,,,,
N,,,N,HERALD BIGHT,MARILYN MONROE,MNM,NORMA JEANE,NOR,n,d,,,,l,,,,,,,01/11/2003,20,MonthEstimate,InfantFirstSight,,EK,16-Aug-03,1.99,1.78,RCC,11-Aug-05,"MNM seen on 11-Aug-05 RCC & AP, a few m/c in grp but not sure if MNM was one of them, looks like EK did the film and named MNM temp as ""doggie"" there were 5 juv and 2 m/c but not clear which is which; 13-Aug -EK's writing definitely 3 m/c pairs MNM was the first, 2 calves in bp",RCC,13-Aug-05,RCC,13-Aug-05,RCC,20-Jul-06,EK,30/01/2006,2.251,341,171,MonthEstimate,Midpoint,,,EK,,,,,,,,,,,,,,,,
N,,,N,GUICH FLATS,MINERVA,MNV,QUILL,QLL,y,y,,,,u,,,16-Nov-04,,MK,,01/11/2001,22,MonthEstimate,SpringSummerYoy,,JM,3-Aug-01,1.04,0.79,JM,18-Aug-02,smaller than PRN,RCC,16-Nov-04,MK,16-Nov-04,MK,18-Jul-06,IW RP IA,,,,,Unknown,StoppedSightingPostWeaning,Over 3 years,,EK,MonthEstimate,Midpoint,,SAS,16-Nov-04,18-Jul-06,609,16-Sep-05,1415.5,46.40983607,3.867486339,,,,,
N,,H,S,EAST,MOOPS,MOO,MUPPET,MUP,y,n,6.016438356,6.506849315,n,n,,,1-May-88,,DDD,,01/11/1984,39,YearEstimate,MotherFirstSightWithCalf,,JM,,,0.5,,1-May-85,1988 photo of muppet in 91 catalogue (JM),DDD,,,23-Jun-88,DDD,,,,,,,Unknown,StoppedSightingPostWeaning,,Birthdate is shaky; could be calf is younger or older (and thus weaned and not dead). JM EK checked again cannot add more info for death or weaning date,JM EK,YearEstimate,DefaultDate,StoppedSightingPostWeaning,,,,,1-May-89,1642,53.83606557,4.486338798,,,,,
N,,H,S,EAST,MOOPS,MOO,OOPS,OOP,n,d,1.989041096,,,n,,,10-Nov-90,,KAW,,06/11/1990,33,DayEstimate,InfantFirstSight,,KAW,31-Jul-90,0.28,0.01,KAW,10-Nov-90,Oops less than a week old; light color has fetal folds; AFR might have seen new calf in early 91 also,KAW,,,10-Nov-90,kaw,1-Nov-91,,07/05/1991,0.499,356,178,MonthEstimate,SiblingBirth,,Moo would have been w/o Oops by 01-nov-91 because of Shmoopy birth; unclear if oops survived or not b/c moops not seen for 4 years; looked at KAW film of SHM 94 and OOP 90 and don't think they are the same; IND cannot be SHM as fins are different,JM,,,,,,,,,,,,unclear if oops survived or not b/c moops not seen for 4 years,,,,
N,,H,S,EAST,MOOPS,MOO,SPECK,SPE,y,n,3,,,n,,,1-Sep-94,,RCC,,01/11/1992,31,MonthEstimate,SpringSummerYoy,,JM,10-Nov-90,2.38,0.4,KAW,28-Mar-93,in BP and >1.5 yrs. in 1994 when JM saw,AFR,21-May-94,JM,1-Sep-94,RCC,16-Jul-97,MRH,,,,,Unknown,SightingRecordPoor,Gap,JM EK checked again cannot add more info for death or weaning date,JM EK,,,,,,,,,,,,,,"SHM last bp was 21-May-94, also seen with MOO 1-Sep-94 but bp wasn't noted, SHM hasn't been seen since; MOO started being sighted without SHM 1997; SHM was suggested to be Speck via photos in 2015, and supported with genetics in 2020, updated in database 2021",,
N,,H,S,EAST,MOOPS,MOO,INDIGO,IND,y,n,4.084931507,0.739726027,n,n,,,,,,,01/11/1995,28,YearEstimate,Gap,,JM,1-Sep-94,3.88,2.71,RCC,18-Jul-98,"older calf, about 3yrs; but two sightings of Moo without Ind in 1997. In one Ind may have been there. In the other, Moo alone- possibly calf on separation.",MRH,19-Jul-98,MK,23-Aug-98,MK,17-Sep-99,JM,,,390,195,,,,,,YearEstimate,BirthdateUncertain,Midpoint,JM,23-Aug-98,17-Sep-99,390,6-Mar-99,1221,40.03278689,3.336065574,"midpoint, but birthday unclear",,,,
N,,H,S,EAST,MOOPS,MOO,KOOKS,KOK,y,y,5.175342466,5,y,n,y,,,,,,01/12/1999,24,MonthEstimate,SpringSummerYoy,,JJW,17-Nov-99,0.58,0.54,JM,17-Jun-00,"2-Jul-00 JJW - Yoy. June - shotover; Earlier sighting on 17-Jun-00 seen from Nortrek by JM (from photograph R11,F11-15)",JJW,11-Oct-04,AKC,11-Oct-04,AKC,12-Oct-04,AKC,,,1,1,,,,,,DayEstimate,Midpoint,SiblingBirth,JM,11-Oct-04,6-Nov-04,26,24-Oct-04,1789,58.6557377,4.887978142,midpoint,,,,
N,,H,S,EAST,MOOPS,MOO,MOXIE,MOX,n,d,,,,l,,,14-Jul-05,,JM,,01/02/2005,18,MonthEstimate,SpringSummerYoy,,JM,6-Nov-04,0.68,0.45,RCC,14-Jul-05,"calf is yoy, small, 4-5 mos max",JM,,,14-Jul-05,JM,10-May-06,JM,11/12/2005,0.858,300,150,MonthEstimate,Midpoint,,Later last live sighting for Mox in MK 2005 data,JM,,,,,,,,,,,,,,,,
N,,  ,N,N/A,MOTHRA,MOT,LUNAR,LUN,y,n,,,,u,,,5-May-98,12-Jul-89,LMB,DDD,01/11/1987,36,YearEstimate,MotherFirstSightWithCalf,,JM,,,1.69,,12-Jul-89,need to check with rcc for notes of calf age/size,RCC,12-Jul-89,DDD,12-Jul-89,DDD,12-Aug-95,RCC,,,2222,1111,,,,,,YearEstimate,Gap,,,12-Jul-89,12-Aug-95,2222,27-Jul-92,1730,56.72131148,4.726775956,"huge gap in sightings, don't know weaning date",,,,
N,,A,N,RED CLIFF BAY,MOUSE,MOU,MIGHTY,MIG,y,y,,,,f,,y,,,,,15/11/2003,20,WeekEstimate,InfantFirstSight,,AS,10-Nov-03,0.06,0.04,JJW,1-Dec-03,"df erect, may have wavy trailing edge, fetal folds, normal and chin slap surfacing in beaufort 4, normal weight, same size as Ed",AS,28-Jul-07,EK,28-Jul-07,EK,1-Jun-08,JM,,,309,155,,,,,,MonthEstimate,Midpoint,,JM,28-Jul-07,1-Jun-08,309,29-Dec-07,1505.5,49.36065574,4.113387978,,,,,
N,,A,N,RED CLIFF BAY,MOUSE,MOU,MAGIC,MGC,y,y,,,,n,,,,,,,20/10/2011,12,DayEstimate,InfantFirstSight,,EK,26-Sep-11,0.07,0.01,EK,23-Oct-11,"had folds and was lumpy, df trailing edge wavy, sunken at neck, corking up and chin-slapping, mostly in ech, few by eye, bp not seen, was mnd a little from mum with YTI, think its 2-5 days old",EK,25-Apr-15,EK,,,27-May-15,JM,,,,,,,,,,WeekEstimate,Midpoint,,JM,25-Apr-15,27-May-15,32,11-May-15,1299,42.59016393,3.549180328,,,,,
N,,A,N,RED CLIFF BAY,MOUSE,MOU,MITZI,MTZ,y,y,,,,n,,,,,,,18/09/2016,7,DayEstimate,InfantFirstSight,,JM EK,29-Aug-16,0.06,0.01,JM,21-Sep-16,"1st sighting very quick, 2nd sighting CBK noted cork-ups an chin-slaps. From photos on 5-Oct-16 EK JM say looked bumpy, wavy trailing edge about 2 weeks old",CBK,26-Feb-20,CCC,,,,,,,,,,,,,,,,,VF,26-Feb-20,12-Mar-20,15,4-Mar-20,1263.5,41.42622951,3.452185792,"Mouse and Mitzi were together on Feb 26th, Mouse was seen with males on March 4th but it was unclear if Mitzi was there or not. Mouse was seen definitely without Mitzi on March 12th, all by CCC",,,,
Y,B,A,N,RED CLIFF BAY,MOUSE,MOU,MOANA,MNA,still alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,E ,N,RED CLIFF BAY,MOZZIE,MOZ,MIDGIE,MID,y,n,,,,e,,,,,,,01/11/1989,34,MonthEstimate,SpringSummerYoy,,AKC,16-Jun-89,1.91,1.53,JM,15-May-91,does not look like a yoy from 91 photos -akc,AFR,15-May-91,AFR,15-May-91,AFR,24-Jun-93,JM,,,771,386,,,,,,YearEstimate,BirthdateUncertain,Gap,JM,,24-Jun-93,34144,3-Jun-92,945,30.98360656,2.581967213,Moz not seen for awhile but Midgie seen,,,,
N,,E ,N,RED CLIFF BAY,MOZZIE,MOZ,SUPAFLY,SUP,y,n,,,,n,,,,,,,01/11/2002,21,MonthEstimate,SpringSummerYoy,,JJW,20-Aug-02,0.7,0.5,JJW,2-May-03,does not look like a yoy - jjw on 3-sep-03 says looks one year with regular surfacings,BLS,7-Jul-07,JM,7-Jul-07,JM,,,,,,,,,,,,YearEstimate,Gap,,JM,,,,1-May-08,2008,65.83606557,5.486338798,weaning date censored. Last together in 2007,,,,
N,,E ,N,RED CLIFF BAY,MOZZIE,MOZ,SANDFLY,SDF,n,d,,,,wait until 2019,,,4-Nov-11,,EK,,21/10/2011,12,DayEstimate,InfantFirstSight,,EK,26-Sep-11,0.11,0.04,EK,4-Nov-11,"calf looked to be ~2 weeks old. Had folds was lumpy, df erect but trailing edge wavy, sunken at neck, chin-slapping, synchronous with mom, most ech, few by eye, bp not noted, not touring with another, predominant ech",EK,,,4-Nov-11,EK,30-Aug-12,EK,02/04/2012,0.449,300,150,MonthEstimate,Midpoint,,,JM,,,,,,,,,,,,,,,,
N,,  ,N,WHALE BIGHT,MORAINE,MRA,GLACIER,GLA,y,y,,,,,,,,,,,01/11/1994,29,YearEstimate,MotherFirstSightWithCalf,,JM EK,9-Feb-97,0,2.28,JM,9-Feb-97,"no mention of calf size, but from photos looks to be older calf 2-3 yrs",JM,9-Feb-97,JM,,,7-Dec-98,AS,,,,,Unknown,StoppedSightingPostWeaning,,unknown calf on 27-Jan-98 14:33 survey. Calf not distinctive,JM EK,MonthEstimate,SiblingBirth,,JM EK,9-Feb-97,,,1-May-98,1277,41.86885246,3.489071038,Based on calf sight and last (only) sighting,,,,
N,,  ,N,WHALE BIGHT,MORAINE,MRA,KETTLE,KET,y,y,5.049315068,,,n,,,18-Aug-03,,RCC,,15/10/1998,25,WeekEstimate,InfantFirstSight,,AS,28-Jan-98,0.86,0.15,AS,7-Dec-98,fetal lines; bigger than SRY,AS,21-Sep-01,JJW,21-Sep-01,JJW,21-Apr-02,LAB,,,212,106,,,,,,MonthEstimate,Midpoint,,JM,21-Sep-01,21-Apr-02,212,5-Jan-02,1178,38.62295082,3.218579235,midpoint,,,,
N,,  ,N,WHALE BIGHT,MORAINE,MRA,SCREE,SRE,n,d,,,,l (wait until 2020),,,16-Dec-03,,AS,,01/11/2003,20,WeekEstimate,InfantFirstSight,,AS,21-Oct-03,0.15,0.12,RCC,16-Dec-03,"df erect, fetal stripes, normal surfacings, normal weight",AS,,,16-Dec-03,AS,21-Aug-04,RCC,18/04/2004,0.464,249,125,MonthEstimate,Midpoint,,MRA with males in August and September 2004,SAS,,,,,,,,,,,,,,,,
N,,,N,RED CLIFF BAY,MINTSLICE,MSC,THINMINT,THM,y,y,,,,e,,,,,,,15/02/2011,12,MonthEstimate,SpringSummerYoy,,EK,17-Sep-09,2.03,0.62,MAS EK,29-Sep-11,"looked to be the same size as drench, df erect, no lines or folds, skin smooth, synching well, swimming well, weight normal, mostly bp with mom but was hardly with her was socialising with drench and lentil, so touring with lentil over distance 4 from mom!",EK,23-Aug-13,MMW,,,,,,,,,,,,,,MonthEstimate,Midpoint,,JM,23-Aug-13,19-Nov-14,453,6-Apr-14,1146.5,37.59016393,3.132513661,"Calf not seen post weaning, but would have been old enough to survive",,,,
Y,B,,N,RED CLIFF BAY,MINTSLICE,MSC,JULEP,JLP,still alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,A ,N,WHALE BIGHT,MANTIS ,MTS,MAGNUM,MAG,y,y,5.04109589,,,n,y,,,20-Sep-01,,RW,01/11/1994,29,MonthEstimate,MotherFirstSightWithCalf,,JM,,,0.77,,10-Aug-95,yoy by photos (JM),RCC,14-Oct-98,AS,14-Oct-98,AS,27-Jul-99,CF,,,286,143,,,,,,MonthEstimate,Midpoint,,JM,14-Oct-98,27-Jul-99,286,6-Mar-99,1586,52,4.333333333,midpoint,,,,
N,,A ,N,WHALE BIGHT,MANTIS ,MTS,CANNIBAL,CAN,n,d,1.821917808,,,n,,,15-Nov-99,20-Sep-01,JM,RW,15/11/1999,24,WeekEstimate,Pregnancy,,JM,3-Nov-99,-99.84,-99.87,JM,,mantis *very* preggo in nov 99,JM,,,,,3-Sep-00,CF,01/05/2000,0.46,,,MonthEstimate,DeadPreWeaning,Midpoint,Calf never seen-based on pregnancy and next sighting,JM,,,,,,,,,,,,,,,,
N,,A ,N,WHALE BIGHT,MANTIS ,MTS,CRICKET,CCK,n,d,,,,l,,,20-Sep-01,20-Sep-01,RC HS,RC HS,10/09/2001,22,DayEstimate,InfantFirstSight,,RCHS,13-Aug-01,0.1,0.03,LAB,20-Sep-01,"echelon, chin slaps, fetal folds, cork surfacings, slightly folded dorsal fin",RCHS,20-Sep-01,RCHS,20-Sep-01,rchs,,,01/05/2002,0.64,,,YearEstimate,DefaultDate,MotherCalfNotSightedSince,"Mother-calf last sighted 20-sep-01; MTS sighted annually before that and is distinctive, so presumably both are dead.",JM,,,,,,,,,,,,,,,,
N,,E ,N,RED CLIFF BAY,MUNCH,MUN,LUNCH,LCH,n,d,3.917808219,,,n,,,5-Jun-86,13-Jul-06,,IA,01/11/1984,39,MonthEstimate,MotherFirstSightWithCalf,,RAS,,,0.61,,11-Jun-85,Small and scarred up. MUN seen in 84-can't find records of that (JM),RAS,,,5-Jun-86,RAS,3-Aug-87,RAS,03/01/1987,2.173,424,212,MonthEstimate,Midpoint,,possible sighting 21-Jun-92 by JM,JM,,,,,,,,,,,,,,,,
N,,E ,N,RED CLIFF BAY,MUNCH,MUN,SLURP,SLU,n,d,2,,,n,,,26-Jul-89,13-Jul-06,,IA,01/10/1988,35,WeekEstimate,InfantFirstSight,,RCC,21-Sep-88,0.13,0.11,RCC,9-Nov-88,bigger than other new babies,RCC,,,26-Jul-89,JM,28-Mar-90,JM,01/08/1989,0.833,245,123,MonthEstimate,SiblingBirth,,Pregnancy with mayhem by 1-Oct.,JM,,,,,,,,,,,,,,,,
N,,E ,N,RED CLIFF BAY,MUNCH,MUN,MAYHEM,MAY,n,d,1.95890411,,,n,,,22-Feb-91,13-Jul-06,,IA,01/10/1990,33,WeekEstimate,InfantFirstSight,,KAW,16-Sep-90,0.15,0.11,KAW,11-Nov-90,check KAW video,KAW,,,22-Feb-91,AFR,27-Apr-91,AFR,26/03/1991,0.482,64,32,MonthEstimate,Midpoint,,,JM,,,,,,,,,,,,,,,,
N,,E ,N,RED CLIFF BAY,MUNCH,MUN,BARELYEXISTED,BYX,n,d,3.210958904,,,n,,,30-Oct-92,13-Jul-06,,IA,15/09/1992,31,MonthEstimate,SpringSummerYoy,,JM,4-Nov-91,0.99,0.12,JM,30-Oct-92,JM HAS NOTES about brand new baby from AFR,AFR,,,3-Nov-92,AFR,5-Jan-93,AFR,04/12/1992,0.221,63,32,MonthEstimate,,,JM thinks dead by January based on faxes from afr,JM,,,,,,,,,,,,,,,,
N,,E ,N,RED CLIFF BAY,MUNCH,MUN,MAYBENOT,MBE,n,d,3.95890411,,,n,,,14-Dec-95,13-Jul-06,,IA,01/12/1995,28,WeekEstimate,InfantFirstSight,,JM,24-Sep-95,0.22,0.04,RCC,14-Dec-95,newborn with fetal lines and slightly floppy dorsal fin --ID by JM from photograph,SHOTOVER,,,14-Dec-95,Shotover,13-Jun-96,RCC,14/03/1996,0.285,182,91,MonthEstimate,Midpoint,,dead,JM,,,,,,,,,,,,,,,,
N,,E ,N,RED CLIFF BAY,MUNCH,MUN,ALMOSTWAS,ALW,n,d,,,,l,,,,,,,15/11/1999,24,MonthEstimate,Pregnancy,,JM,1-Nov-99,-99.84,-99.87,JM,,looked pregnant 3-oct-99,JM,,,,,15-Jul-00,JM,15/03/2000,0.333,243,122,MonthEstimate,MOTHER PREGNANT CALF NEVER SIGHTED,,Calf never seen-based on pregnancy and next sighting,JM,,,,,,,,,,,,,,,,
N,,,N,WHALE BIGHT,MURPHY,MUR,BLARNEY,BLR,still alive,,,,,,,,,,,,01/11/2020,3,MonthEstimate,SpringSummerYoy,,VF JM,14-Jun-17,5.07,1.68,VF,8-Jul-22,"Mom last seen 14-Jun-17. New calf first seen 8-Jul-22, estimated ~ 1.5 years. ",VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,D/W,,N,WHALE BIGHT,MURPHY,MUR,FLANNIGAN,FLN,u,n,,,,wait until 2023,,,14-Jun-17,14-Jun-17,,,01/11/2016,7,MonthEstimate,InfantFirstSight,SpringSummerYoy,VF,29-Sep-11,5.71,0.62,,14-Jun-17,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,,N,WHALE BIGHT,MURPHY,MUR,O'MALLEY,OMA,y,y,,,,89-91,,,18-Oct-09,,,JB AP,01/11/2002,21,MonthEstimate,SpringSummerYoy,,SAS,31-Jul-02,1.23,0.98,RCC,25-Oct-03,said to be larger than RBB & ECO on 11-Aug-05,RCC,29-Sep-05,MK,29-Sep-05,MK,21-Oct-06,,,,,,,,,,,MonthEstimate,Midpoint,,,29-Sep-05,21-Oct-06,387,10-Apr-06,1256.5,41.19672131,3.433060109,,,,,
N,,A ,N,EAST,MYSTIQUE,MYS,INTRIGUE,ITG,y,y,,,,f,,,,,,,21/10/2011,12,DayEstimate,InfantFirstSight,,EK,18-Dec-09,1.88,0.04,EK,4-Nov-11,"looked to be ~2 weeks old. normal surfacing, mostly in ech, few by eye, bp <30 sec, n touring with another, synchronous with mom, had folds and was lumpy, df erect but trailing edge wavy, sunken at neck",EK,,,,,,,,,,,,,,,,DayEstimate,Reduced MC Association,,,15-Apr-16,20-Apr-16,5,17-Apr-16,1640.5,53.78688525,4.482240437,,,,,
N,,A ,N,EAST,MYSTIQUE,MYS,COLDCASE,CDC,n,d,,,,n,,,,,,,01/11/2018,5,MonthEstimate,SpringSummerYoy,,JM,31-Aug-18,#VALUE!,#VALUE!,TCC,NA,calf never sighted; MYS visibly pregnant 31-Aug-18,,,,,,21-Jun-19,VF,25/01/2019,0.233,,,MonthEstimate,DeadPreWeaning,Midpoint,Saw MYS heavily pregnant on 31Aug18; no calf when next sighted on 21Jun19,JM,,,,,,,,,,,,,,,,
N,,A ,N,EAST,MYSTIQUE,MYS,SUSPICION,SUS,still alive,,,,,,,,,,,,01/11/2020,,MonthEstimate,SpringSummerYoy,,JM,15-May-20,1.89,1.43,CCC,6-Apr-22,probable birth date Sep 2020- Feb 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
