Dolphin ID,Dolphin Name,Temporary Dolphin Ind,Sex,Sex Certainty,Mother ID,Birth Date Accuracy,Birth Date,Birth Date Earliest,Birth Date Latest,Birth Date Primary Reason,Birth Date Secondary Reason,Birth Date Primary Assigner,Birth Date Secondary Assigner,Birth Notes,Death Date Accuracy,Death Date,Death Date Primary Reason,Death Date Secondary Reason,Death Date Calc Type,Death Date Primary Assigner,Death Date Secondary Assigner,Death Notes,Weaning Date Accuracy,Weaning Date,Weaning Date Primary Reason,Weaning Date Secondary Reason,Weaning Date Calc Type,Weaning Date Primary Assigner,Weaning Date Secondary Assigner,Weaning Age Known,Weaning Notes,Last Seen Year,Dolphin Notes
MNA,MOANA,FALSE,,,MOU,WEEK ESTIMATE,11/01/2022,10/24/2022,11/12/2022,INFANT FIRST SIGHT,,ARISTOCAT,ERJ,Mouse last seen on 23-Oct-22. First seen with calf by Jade on 12-Nov-22. Seen by ERJ on 28-Nov-22 and estimated ~1 month.,,,,,,,,,,,,,,,,,,,
MNE,MANDELA,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNG,MANGANESE,TRUE,FEMALE,HIGH,RBM,YEAR ESTIMATE,11/01/1996,11/1/1994,11/1/1996,MOTHER FIRST SIGHT WITH CALF,REPRODUCTIVE AGE,EK,JM,1999 sighting of MNG with mother so she could have been 2 to 4.,,,,,,,,,YEAR ESTIMATE,4/6/2001,,,MIDPOINT,EK,JM,NO,RBM not seen since 1999 but calf seen 2002.,,
MNJ,MINAJ,FALSE,UNKNOWN,,COI,MONTH ESTIMATE,15/11/2018,10/1/2018,12/1/2018,INFANT FIRST SIGHT,,EK,JM,"EK: from photos probably no fetal lines, df erect, in bp, has a fresh scar on leading of df",MONTH ESTIMATE,31/03/2019,DEAD PREWEANING,,MIDPOINT,JM,,COI seen without MNJ on 20Jun19 by JM VF,,,,,,,,,,,
MNK,MONKEY,FALSE,MALE,HIGH,,,11/01/1986,,,ASSIGNED 10 YRS,,,,,,,,,,,,,,,,,,,,,,2006,
MNM,MARILYN MONROE,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1987,11/1/1983,11/1/1987,REPRODUCTIVE AGE,SSSS,EK,JM,Has a couple of DF speckles in 2006 and lateral side 2003.,YEAR ESTIMATE,01/05/2010,RARELY SIGHTED,OVER 3 YEARS,DEFAULT DATE,EK,JM,Has not been sighted for a long time but was not seen much and fin could have changed.,,,,,,,,,,,
MNN,MOON,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNS,MONSOON,FALSE,MALE,HIGH,TOR,YEAR ESTIMATE,11/01/2009,,,,,JM,,"about 2 years old, bigger than MGU",,,,,,,,,WEEK ESTIMATE,6/25/2013,,,MIDPOINT,JM,,YES,,,
MNU,MANU,FALSE,UNKNOWN,,GAB,DAY ESTIMATE,25/10/2015,10/24/2015,10/26/2015,INFANT FIRST SIGHT,,EK,,"folds and lumpy, df not fully erect, sunken at neck, cork-up and chin-slaps, few exact synchrony with mom, mostly in echelon, few by eye, bp<30sec",MONTH ESTIMATE,02/02/2016,DEAD PREWEANING,,MIDPOINT,JM,,,,,,,,,,,,,
MNV,MINERVA,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1983,11/1/1973,11/1/1983,SSSS,REPRODUCTIVE AGE,EK,JM,DF speckles in 2003 so at least 20 but could be 30. Originally aged by repro age but changed when we could see speckles.,,,,,,,,,,,,,,,,,,,
MOB,MOBY,FALSE,,,,,11/01/1978,,,ASSIGNED 10 YRS,,,,,,,,,,,,,,,,,,,,,,,
MOE,MOE,FALSE,,,,,11/01/1982,,,91CAT,,,,,,,,,,,,,,,,,,,,,,,
MOG,MOGGY,FALSE,MALE,HIGH,,,11/01/1982,,,91CAT,,,,,,,,,,,,,,,,,,,,,,2007,
MOJ,MOJO,FALSE,,,FLO,YEAR ESTIMATE,11/01/1986,,,MOTHER FIRST SIGHT WITH CALF,,JM,,RCC HAS RECORDS OF FLOJO HERDED WITH OLDER CALF IN 1988 OR 1989.,,,SIGHTING RECORD POOR,BIRTH DATE UNCERTAIN,,JM,,,,,,,,,,NO,,,
MOL,MOLEY,FALSE,FEMALE,HIGH,HOH,MONTH ESTIMATE,11/01/1995,,,INFANT FIRST SIGHT,,JM,,FROM PIC- LOOKS LIKE 95-96 SUMMER (JM),WEEK ESTIMATE,01/03/1997,DEAD PREWEANING,,MIDPOINT,JM,,,,,,,,,,DIED PREWEANING,,1997,
MON,MONSTER,FALSE,,,FRA,MONTH ESTIMATE,11/01/1986,,,SPRING SUMMER YOY,MOTHER FIRST SIGHT WITH CALF,RAS,,"YOY IN 1987, PROBABLY DIDN'T SURVIVE",,,SIGHTING RECORD POOR,GAP,,JM,,"would need to look at afr and other surveys to see if Monster survived. Mentioned in old catalogue that only seen in 87, but Fra seen after that.",,,,,,,,NO,"WOULD NEED TO LOOK AT AFR AND OTHER SURVEYS TO SEE IF MONSTER SURVIVED. MENTIONED IN OLD CATALOGUE THAT ONLY SEEN IN 87, BUT FRA SEEN AFTER THAT.",1987,
MOO,MOOPS,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1972,11/1/1970,11/1/1974,SSSS,REPRODUCTIVE AGE,EK,JM,91CAT INDICATES ADULT,MONTH ESTIMATE,01/05/2017,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,gap in sightings 95 and 96 but seen every year.  She is in her 40s by death date.,,,,,,,,,,2006,
MOR,MORRIS,FALSE,UNKNOWN,,TRE,WEEK ESTIMATE,20/12/1988,,,INFANT FIRST SIGHT,,RCC,,"BIG, ~2 MO.",DAY ESTIMATE,03/06/1990,DEAD PREWEANING,,MIDPOINT,JM,,,,,,,,,,DIED PREWEANING,,1990,
MOT,MOTHRA,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1975,,,REPRODUCTIVE AGE,91CAT,,,We cannot do a better range due to photo quality.,YEAR ESTIMATE,01/05/1993,RARELY SIGHTED,OVER 3 YEARS,DEFAULT DATE,EK,JM,Not distinctive and only one photo. No surveys.,,,,,,,,,,1989,
MOU,MOUSE,FALSE,FEMALE,HIGH,MIN,DAY ESTIMATE,29/09/1991,,,INFANT FIRST SIGHT,,AFR,,"SMALL, LUMPY, FETAL FOLDS, FIN MOSTLY STRAIGHT BUT LEANS A LITTLE RIGHT, PRONOUNCED WAVE AT BOTTOM TRAILING EDGE",,,,,,,,,MONTH ESTIMATE,3/29/1998,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,LAST BP JAN 98(SURVEY) THEN MOU ALONE MAY 98(SURVEY) ALONE OFF AND ON AFTER THAT,2007,
MOX,MOXIE,FALSE,,,MOO,MONTH ESTIMATE,02/01/2005,,,INFANT FIRST SIGHT,,JM,,"CALF IS YOY, SMALL, 4-5 MOS MAX",MONTH ESTIMATE,11/12/2005,,,MIDPOINT,JM,,Later last live sighting for Mox in MK 2005 data,,,,,,,,DIED PREWEANING,,2005,
MOZ,MOZZIE,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1977,11/1/1975,11/1/1977,REPRODUCTIVE AGE,,EK,JM,Speckle data indicate she is probably mid 1970s for bday.,YEAR ESTIMATE,01/05/2018,OVER 3 YEARS,,DEFAULT DATE,JM,VF,Last seen 17-Aug-15 and over 40yrs old,,,,,,,,,,2007,
MPC,MILDRED PIERCE,FALSE,UNKNOWN,,JCR,YEAR ESTIMATE,11/01/1997,,,,,SAS,,"calf/juvie mentioned on survey; JCR had large, ~3 yr old calf in 01",,,STOPPED SIGHTING POST WEANING,,,,,,MONTH ESTIMATE,9/16/2001,,,MIDPOINT,SAS,,NO,took midpoint of last with mum date and WIR estimated bday,,
MRA,MORAINE,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1979,11/1/1977,11/1/1982,REPRODUCTIVE AGE,SSSS,EK,,Has a couple of specks on DF in 2002 so could be as old as 25.,YEAR ESTIMATE,01/05/2016,OVER 3 YEARS,,DEFAULT DATE,JM,VF,Last seen 16-Nov-10 and would be over 40yrs old now,,,,,,,,,,2004,
MRC,MRS. CLEAN,FALSE,FEMALE,HIGH,SUD,YEAR ESTIMATE,11/01/1995,,,,,JM,,,,,RARELY SIGHTED,,,,,,MONTH ESTIMATE,12/11/2003,,,MIDPOINT,JM,,NO,"with mom in bp 16-Aug-03, MRC without mom 6-Apr-04",,"JM estimated 7 yrs, calf was said to be older juvenile 8-9 yrs old but probably big for its age because nursed late"
MRI,MARINA,FALSE,UNKNOWN,,OCE,YEAR ESTIMATE,11/01/2007,11/1/2005,11/1/2007,,,EK,,,,,UNCERTAIN SURVIVAL STATUS PREWEANING,MOTHER CALF NOT SIGHTED SINCE,,,,,,,,,,,,,,,Estimated 2-3 yrs old and OCEANIA herded by skipjacks at 1st sight of calf
MRJ,MARJORY,FALSE,,,FRG,MONTH ESTIMATE,02/01/2019,1/1/2019,3/1/2019,INFANT FIRST SIGHT,,VF,JM,estimated 4 to 6 months,,,,,,,,,,,,,,,,,,,
MRL,MERLIN,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1984,11/1/1974,11/1/1984,ASSIGNED 10 YRS,SSSS,EK,JM,In 2007 had speckles high on lat side but can not tell on DF.,YEAR ESTIMATE,01/05/2011,OVER 3 YEARS,,DEFAULT DATE,EK,JM,"Had a 3 year sighting gap, but distinctive and definitely gone.",,,,,,,,,,2004,
MRQ,MARQUIS,FALSE,UNKNOWN,,DUC,MONTH ESTIMATE,15/02/2013,1/15/2013,3/15/2013,,,JM,,,MONTH ESTIMATE,20/03/2015,DEAD PREWEANING,,MIDPOINT,JM,,,,,,,,,,,,,definitely a yoy; 1-Jan birth or younger; JM looked at photos and estimates 5-6 months; Entered by CBK
MRS,MORSEL,FALSE,MALE,HIGH,GOD,YEAR ESTIMATE,11/01/1994,,,GAP,,JM,,AT LEAST 1YR-JM BASED ON PHOTO,,,,,,,,,YEAR ESTIMATE,4/24/1998,,REDUCED MC ASSOCIATION,MIDPOINT,JM,,NO,"BY MIDPOINT, BUT BIRTHDAY UNCLEAR",2007,
MRT,MARTINET,TRUE,MALE,LOW,,YEAR ESTIMATE,11/01/1985,11/1/1982,11/1/1988,SSSS,ALLIANCE,JM,,,,,,,,,,,,,,,,,,,,,gen vv specks 4 and bel vv specks 3 so aged 18 at first sight; used speckle table in our paper but could be more systematically aged.
MRW,MERRYWEATHER,FALSE,UNKNOWN,,MFC,YEAR ESTIMATE,11/01/2011,5/1/2011,4/1/2012,GAP,,EK,,about 3.5 yrs,,,,,,,,,,,,,,,,,,,
MRY,MAN RAY,FALSE,MALE,HIGH,,YEAR ESTIMATE,11/01/1983,11/1/1978,11/1/1983,SSSS,,EK,JM,Has some DF speckles in 2003.,YEAR ESTIMATE,01/05/2016,OVER 3 YEARS,,DEFAULT DATE,EK,JM,Some gaps in sighting record.,,,,,,,,,,2006,
MSA,MARSHA,TRUE,FEMALE,LOW,,YEAR ESTIMATE,11/01/1991,,,ASSIGNED 10 YRS,,SAS,,,,,,,,,,,,,,,,,,,,,
MSC,MINTSLICE,TRUE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1998,11/1/1996,11/1/1998,SSSS,REPRODUCTIVE AGE,EK,JM,Has very few speckles LV and VV gen in 2012 so was definitely young.,,,,,,,,,,,,,,,,,,,
MSE,MISSEL,FALSE,FEMALE,HIGH,NIC,DAY ESTIMATE,11/10/2012,11/9/2012,11/11/2012,,,DIC,,1-2 days old,DAY ESTIMATE,13/07/2015,DEAD PREWEANING,,OTHER,JM,,orphaned- see NIC mortality notes,,,,,,,,,,,1-2 days old
MSL,MUSSELS,FALSE,MALE,HIGH,SCA,WEEK ESTIMATE,15/10/2001,,,INFANT FIRST SIGHT,,JJW,,"FETAL STRIPES, DF ERECT, NORMAL WEIGHT",YEAR ESTIMATE,01/05/2010,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,"Could have changed fin, but we saw him every year.",YEAR ESTIMATE,10/11/2005,REDUCED MC ASSOCIATION,,MIDPOINT,,,NO,,2007,
MSN,MARSDEN,FALSE,MALE,LOW,,YEAR ESTIMATE,11/01/1987,,,ALLIANCE,,RCC,,,,,,,,,,,,,,,,,,,,,
MSS,MASSACRE,FALSE,,,CHA,YEAR ESTIMATE,11/01/1994,,,GAP,,JM,,NO SIZE INFO.,,,SIGHTING RECORD POOR,BIRTH DATE UNCERTAIN,,JM,,,,,,,,,,NO,CALF NOT SEEN 1996;CHA SEEN IN 2002 BUT MSS NOT SEEN AGAIN.,1996,
MST,MUSTANG,FALSE,UNKNOWN,,BMY,YEAR ESTIMATE,11/01/2010,,,,,EK,,~2 years,,,,,,,,,YEAR ESTIMATE,8/29/2014,REDUCED MC ASSOCIATION,,MIDPOINT,EK,JM,YES,,,
MTE,MYSTERY,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTO,MATSO,FALSE,,,VBE,WEEK ESTIMATE,15/10/2020,10/1/2020,12/1/2020,INFANT FIRST SIGHT,,JM,VF,"Veebie was last seen March 21st, 2020 and first seen with Matso March 20th, 2021. JM estimates about 5 months based from photos",,,,,,,,,,,,,,,,,,,
MTS,MANTIS,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1974,11/1/1974,11/1/1976,SSSS,REPRODUCTIVE AGE,EK,,,MONTH ESTIMATE,01/05/2002,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,Seen frequently and was quite old.,,,,,,,,,,2001,
MTZ,MITZI,FALSE,MALE,HIGH,MOU,DAY ESTIMATE,18/09/2016,9/15/2016,9/20/2016,INFANT FIRST SIGHT,,CBK,,Looks bumpy in 21 Sep photo. Corking up 5 Oct and chin ups so pretty young.,,,,,,,,,WEEK ESTIMATE,3/4/2020,REDUCED MC ASSOCIATION,,MIDPOINT,VF,,YES,"Mouse and Mitzi were together on Feb 26th, Mouse was seen with males on March 4th but it was unclear if Mitzi was there or not. Mouse was seen definitely without Mitzi on March 12th, all by CCC",,
MUF,MUF,FALSE,FEMALE,HIGH,UHF,MONTH ESTIMATE,11/01/1986,,,SPRING SUMMER YOY,,JM,,NO SIZE INFORMATION,MONTH ESTIMATE,13/01/1989,,,MIDPOINT,JM,,,,,,,,,,DIED PREWEANING,,1989,
MUL,MULDER,FALSE,,,ALI,YEAR ESTIMATE,11/01/2000,,,GAP,,JM,,"R14, F25-33",YEAR ESTIMATE,01/05/2011,OVER 3 YEARS,,DEFAULT DATE,EK,JM,Fin distinctive so we think dead.,MONTH ESTIMATE,2/15/2004,REDUCED MC ASSOCIATION,SIBLING BIRTH,MIDPOINT,JM,,NO,MIDPOINT,2004,
MUM,MUMBLES,FALSE,MALE,HIGH,GUM,MONTH ESTIMATE,11/01/1993,,,SPRING SUMMER YOY,,JM,,NO SIZE/AGE EST.; JM REMEMBERS MUM AS VERY SMALL (MIGHT BE COMMENT IN A FOLLOW)-FLANKS LOOK SUNKEN IN 96 PHOTO.,YEAR ESTIMATE,01/05/2005,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,,MONTH ESTIMATE,9/24/1997,SIBLING BIRTH,,,JM,,YES,MIDPOINT,2003,
MUN,MUNCH,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1967,11/1/1966,11/1/1969,SSSS,91CAT,EK,JM,,MONTH ESTIMATE,01/09/2006,SIGHTED OFTEN PREVIOUSLY,,OTHER,EK,JM,Seen many times each year so we think she died within a few months of her last sighting.,,,,,,,,,,2006,
MUP,MUPPET,FALSE,,,MOO,YEAR ESTIMATE,11/01/1984,,,MOTHER FIRST SIGHT WITH CALF,,JM,,1988 PHOTO OF MUPPET IN 91 CATALOGUE (JM),,,SIGHTING RECORD POOR,STOPPED SIGHTING POST WEANING,,JM,,Birthdate is shaky; could be calf is younger or older (and thus weaned and not dead),YEAR ESTIMATE,5/1/1989,,STOPPED SIGHTING POST WEANING,DEFAULT DATE,,,NO,,1988,
MUR,MURPHY,TRUE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1990,11/1/1989,11/1/1991,REPRODUCTIVE AGE,SSSS,JM,RCC,Had OMA in 2002 so assigned 12 years at birth,,,,,,,,,,,,,,,,,,,
MUS,MUSHY,FALSE,MALE,HIGH,KWI,WEEK ESTIMATE,30/05/1997,,,INFANT FIRST SIGHT,,LMB,,ESTIMATED 3-6 WKS,YEAR ESTIMATE,01/05/2010,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,JM,EK,FIn could have changed.,MONTH ESTIMATE,9/25/2001,REDUCED MC ASSOCIATION,SIBLING BIRTH,MIDPOINT,JM,,YES,"MIDPOINT, KWISP PREGNANT WITH JUICY",2006,
MUT,MUTT,FALSE,MALE,HIGH,FID,MONTH ESTIMATE,11/01/1993,,,SPRING SUMMER YOY,MOTHER FIRST SIGHT WITH CALF,JM,,5 MOS- 1 YR IN 94,,,,,,,,,MONTH ESTIMATE,11/29/1996,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,MIDPOINT,2006,
MYA,MYA,FALSE,MALE,HIGH,CLA,MONTH ESTIMATE,15/01/2007,,,INFANT FIRST SIGHT,,EK,,INFANT FIRST SIGHT SHEET,,,,,,,,,MONTH ESTIMATE,6/30/2010,,,MIDPOINT,SAS,,YES,,2007,
MYB,MAYBELL,FALSE,,,,,11/01/1988,,,SSSS,,,,,YEAR ESTIMATE,01/05/2007,OVER 3 YEARS,,DEFAULT DATE,JM,VF,Last seen 21-Nov-04,,,,,,,,,,2004,
MYR,MYRTLE,FALSE,MALE,HIGH,,,11/01/1977,,,91CAT,,,,,,,,,,,,,,,,,,,,,,2006,
MYS,MYSTIQUE,FALSE,FEMALE,HIGH,GOD,MONTH ESTIMATE,01/01/1999,12/9/1998,12/1/1999,GAP,,JM,,GOD is MYS mother based on SNPs and sighting record poor but they were seen together in 2002 and possibly in same survey in 2001. Dates determined posthoc by sib weaning and births.,,,,,,,,,MONTH ESTIMATE,7/23/2002,,,MIDPOINT,JM,,NO,MYS matched to GOD based on SNPs but with GOD in surveys until GOD pregnant with FON. We are not sure of MYS bday so not sure of weaning age exactly.,,
MZT,MOZART,FALSE,MALE,HIGH,SCH,MONTH ESTIMATE,11/01/2008,,,SPRING SUMMER YOY,,EK,,yoy,,,,,,,,,YEAR ESTIMATE,5/1/2012,,,DEFAULT DATE,JM,,NO,SCH without MZT and looking pregnant on 8-Jul-12. MZT sighted without SCH on 31-Jul-12.,,
NAI,NAIRA,FALSE,FEMALE,,PSI,MONTH ESTIMATE,11/01/2008,10/12/2008,2/2/2009,GAP,,EK,JM,"estimated to be about 3 years old, looked like mum was being herded at first sight. Could not have been younger than 2008 birth.",,,,,,,,,YEAR ESTIMATE,5/1/2012,GAP,REDUCED MC ASSOCIATION,DEFAULT DATE,EK,JM,NO,NAI first seen when PSI in consortship and estimated 3 years old so probably weaned following year. PSI if she did get pregnant would have lost calf because she did not have PPO until 2015 and born out of season so likely lost calf in between NAI and PPO.,,
NAK,NAKITA,FALSE,MALE,HIGH,NIC,DAY ESTIMATE,12/01/1993,,,INFANT FIRST SIGHT,,DIC,,"APPROX 1-2DAYS OLD; FETAL FOLDS, LUMPY; CHIP SLAPS AND NORMAL SURFACINGS; NO BP",DAY ESTIMATE,11/07/1994,DEAD PREWEANING,,MIDPOINT,DIC,,dead,,,,,,,,DIED PREWEANING,NIC WAS HERDED BY REA HII 2 WEEKS AFTER NAK'S DEATH.,1994,
NAM,NAMASTE,FALSE,UNKNOWN,,CII,WEEK ESTIMATE,05/01/2016,4/15/2016,5/15/2016,INFANT FIRST SIGHT,,JM,,"prominent fetal lines, no cups, mostly echelon",,,,,,,,,YEAR ESTIMATE,5/1/2020,GAP,,DEFAULT DATE,JM,VF,NO,"last with CII in bp on 27-Jun-18, and then with CII but not in bp on 24-Apr-22, then not with CII on 7-May-22",,First calf for CII.
NAN,NANO,FALSE,UNKNOWN,,LIT,DAY ESTIMATE,21/10/2011,10/20/2011,,,,EK,,,MONTH ESTIMATE,24/02/2012,DEAD PREWEANING,,MIDPOINT,SAS,,,,,,,,,,DIED PREWEANING,,,"it had folds and was lumpy, df trailing edge wavy, sunken at neck, corking up and chin-slapping, mostly in ech, few by eye, bp not seen, seemed a little smaller than mouse's calf and didn't mnd at all stayed constantly in ech (2-3 days old)"
NAP,NAP,FALSE,MALE,HIGH,NIP,DAY ESTIMATE,10/01/1996,,,INFANT FIRST SIGHT,,KH,,ABOUT 1 WEEK OLD; 1-3 FETAL FOLDS; CHIN-SLAP SURFACINGS; NO BP,,,,,,,,,MONTH ESTIMATE,8/1/1999,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,MOTHER WITH WOW CROWD ON 9-SEP-99,2007,
NAT,NATURAL TAG,FALSE,MALE,HIGH,,,11/01/1980,,,SSSS,91CAT,,,,,,,,,,,,,,,,,,,,,2007,
NAU,NAUTILUS,FALSE,,,COK,WEEK ESTIMATE,04/01/2019,3/15/2019,4/15/2019,INFANT FIRST SIGHT,,VF,JM,"faint fetal lines, brief bp, no ech, max distance 2, about 3 months",,,,,,,,,,,,,,,,,,,
NCK,NICKEL,FALSE,,,,YEAR ESTIMATE,11/01/1984,11/1/1977,11/1/1987,SSSS,,JM,,A few specks on DF in 2004; best estimate is 20 y so assign 1984 bday with range from 1977-1987.,,,,,,,,,,,,,,,,,,,
NDB,NUDIBRANCH,FALSE,UNKNOWN,,WHL,WEEK ESTIMATE,11/01/2015,10/1/2015,11/15/2015,INFANT FIRST SIGHT,,JM,,"calf in bp from photos, looks 3-4mo (JM)",MONTH ESTIMATE,30/03/2016,DEAD PREWEANING,,MIDPOINT,EK,JM,,,,,,,,,,,,
NEB,NEBULA,FALSE,FEMALE,LOW,,YEAR ESTIMATE,11/01/1978,,,91CAT,ASSIGNED 10 YRS,,,Photos do not help with age estimation. SSB brought into beach perhaps.,YEAR ESTIMATE,01/05/1992,RARELY SIGHTED,OVER 3 YEARS,DEFAULT DATE,EK,JM,SSB brought into beach and not seen again. Could have changed fins.,,,,,,,,,,,
NEL,NELLY,FALSE,,,,YEAR ESTIMATE,11/01/1985,,,,,,,,,,,,,,,,,,,,,,,,,,
NEM,NEMO,FALSE,,,NIT,MONTH ESTIMATE,01/01/2005,,,INFANT FIRST SIGHT,,QAG,,DF HAS WAVY TRAILING ELGE,WEEK ESTIMATE,09/06/2005,DEAD PREWEANING,,MIDPOINT,JM,,,,,,,,,,DIED PREWEANING,,2005,
NEN,NENA,FALSE,,,,YEAR ESTIMATE,11/01/1971,11/1/1965,11/1/1971,SSSS,,EK,JM,Very heavily speckled in 2001 so at least 30 then.,YEAR ESTIMATE,01/05/2016,RARELY SIGHTED,,OTHER,EK,JM,She was very old so even though gaps in sightings we assigned death date 3 years after last sighting.,,,,,,,,,,2004,
NEP,NEPTUNE,FALSE,,,,,11/01/1986,,,ASSIGNED 10 YRS,,,,,,,,,,,,,,,,,,,,,,1996,
NER,NERE,FALSE,,,WHT,MONTH ESTIMATE,11/01/2021,9/1/2021,3/1/2022,SPRING SUMMER YOY,INFANT FIRST SIGHT,ERJ,JM,Whitey last seen 16-Nov-19. First seen with calf on seen by ERJ on 28-Sep-22,,,,,,,,,,,,,,,,,,,
NES,NESTLE,FALSE,MALE,HIGH,COC,MONTH ESTIMATE,11/01/2003,,,SPRING SUMMER YOY,,JM,,NO NOTES ON SIZE; sexing low certainty because of ambiguity between NES and NIN on 9-May-2006 (CBK),,,,,,,,,MONTH ESTIMATE,8/1/2007,SIBLING BIRTH,,,JM,,YES,WEAN DATE ESTIMATED BASED ON SIBLING BIRTH,2004,
NET,NEWT,FALSE,FEMALE,HIGH,RIP,WEEK ESTIMATE,12/01/2009,11/1/2009,1/1/2010,,,JM,,,,,,,,,,,DAY ESTIMATE,6/22/2015,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,,,"estimated 5 months, smaller than GEK so range given 4-6 months. DNA sex is female but behavior was thought male."
NEV,NEVAR,FALSE,FEMALE,HIGH,,MONTH ESTIMATE,11/01/1988,11/1/1986,11/1/1988,REPRODUCTIVE AGE,SSSS,EK,JM,Consorted first in 1996 and had DF specks in 1991 and first calf in 2000.,YEAR ESTIMATE,01/05/2009,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,,She was only 19 approx at death so we should keep checking if fin changed.,,,,,,,,,,2008,
NGI,NOOGIE,FALSE,,,NOO,MONTH ESTIMATE,12/01/1997,,,INFANT FIRST SIGHT,SSSS,MRH,,"NEW CALF -ERECT DF NO FOLDS, BP",YEAR ESTIMATE,01/05/2001,STOPPED SIGHTING POST WEANING,,DEFAULT DATE,EK,JM,Fin not very distinctive but we sighted Nook and her offspring regularly.,MONTH ESTIMATE,6/10/2000,REDUCED MC ASSOCIATION,SIBLING BIRTH,MIDPOINT,JM,,YES,B/C WEANED NEAR THIS DATE B/C CUBBY BORN NOV 2000,2000,
NHU,NIHAU,FALSE,,,HUL,MONTH ESTIMATE,12/01/1992,,,INFANT FIRST SIGHT,,JM,,no notes; probable sighting of HUL Nov 92,MONTH ESTIMATE,15/12/1993,,,MIDPOINT,,,,,,,,,,,DIED PREWEANING,,,
NIB,NIBBLES,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1972,11/1/1971,11/1/1972,SSSS,REPRODUCTIVE AGE,EK,JM,Gave year estimate because we have limited speckle data.,YEAR ESTIMATE,01/05/2009,OVER 3 YEARS,SIGHTED OFTEN PREVIOUSLY,DEFAULT DATE,EK,,,,,,,,,,,,2003,
NIC,NICKY,FALSE,FEMALE,HIGH,HOL,MONTH ESTIMATE,29/12/1975,,,INFANT FIRST SIGHT,,DIC,,DETAILED RECORDS NOT KEPT IN THOSE DAYS; MASONS,DAY ESTIMATE,06/07/2015,SIGHTED OFTEN PREVIOUSLY,,OTHER,JM,,last sighting was 5 July 2015 by Ross Battersby partially beached in Dubaut Creek. Ross coaxed her out with fish and pushed her out and she joined up with MSE in deeper water,MONTH ESTIMATE,5/1/1979,SIBLING BIRTH,,,JM,,YES,"GUESS BASED ON PREGNANCY WITH JOY; MUST HAVE BEEN WEANED AFTER 3RD BIRTHDAY, BUT BEFORE 4TH",2008,
NIL,NILLY,FALSE,MALE,HIGH,WYL,WEEK ESTIMATE,11/01/1990,,,INFANT FIRST SIGHT,,KAW,,SMALL WITH FETAL FOLDS,YEAR ESTIMATE,28/08/1992,SIGHTING RECORD POOR,SIBLING BIRTH,,JM,,Gap,,,,,,,,NO,COULD BE WEANED OR DEAD?,1991,
NIM,NIMBUS,FALSE,,,,,11/01/1977,,,91CAT,,,,,,,,,,,,,,,,,,,,,,,
NIN,NINGALOO,FALSE,MALE,HIGH,NUM,MONTH ESTIMATE,11/01/2002,,,INFANT FIRST SIGHT,,LAB,JM,NO SIZE INFORMATION,,,,,,JM,,,MONTH ESTIMATE,5/15/2007,,,DEFAULT DATE,JM,,YES,Ningaloo probably weaned May or June 2007 when Numbat was pregnant with Potoroo,2004,
NIP,NIP,FALSE,FEMALE,HIGH,,YEAR ESTIMATE,11/01/1970,,,SSSS,91CAT,DIC,,,MONTH ESTIMATE,01/05/2003,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,,She could have been a few years older at her death. Maybe 35 based on early speckling.,,,,,,,,,,2002,
